Ticker,Name,Industry,Mkt Cap,Last Price,Avg 3M Volume,1Wk,1Mo,3Mo,YTD,P/B,DY,P/E LTM,P/E NTM,P/E FY1
4013,SULAIMAN ALHAB,Health Care,27.109654032730997,290.4,23.334062493521103,0.902777777777808,3.41637010676161,-8.63808029735463,3.1059010827903,15.3295873103357,1.61046111493462,48.2564733584745,42.2440096778433,46.1513841424885
4002,MOUWASAT MED S,Health Care,6.48222186683725,121.0,14.0892010188517,0.0,7.43677702433179,-7.79679583732722,10.5118904960963,7.05206055830578,1.43914473684211,36.7003488947642,28.0588047530209,30.5766873274059
4004,DALLAH HEALTH,Health Care,4.10324424585532,157.0,3.9517204407126,-4.01948842874542,-4.13625304136253,-11.9553072625698,-7.99844419403969,4.63297196786852,1.26903553299492,40.1155613251371,32.7675252201828,35.6434479155594
BURJEEL,BURJEEL HOLDIN,Health Care,3.7560193779953197,2.63,2.09274672957785,-3.28467153284674,-2.93040293040298,-12.2545041389385,-14.5116230041063,8.55892894457192,1.13207547169811,28.876539174022,17.1535046465851,19.7777348350552
4015,JAMJOOM PHARMA,Health Care,2.7240258009488802,145.4,7.52762762450575,3.54609929078016,12.6760090438987,9.33746062778322,28.3526711705834,6.99283808850223,1.71232876712329,32.8649699938322,28.7749792476635,31.0886224140092
4007,AL HAMMADI CO,Health Care,1.98091582706967,46.5,11.2940868445215,-1.06496272630459,-7.00765407554669,-25.0398237179487,-20.8122716883186,4.01028835376217,3.01399354144241,25.9906668606408,23.144532277942,24.5838688623912
4005,NATIONAL MEDIC,Health Care,2.5582120582120598,218.6,6.55256857257097,6.46766169154229,21.4528944381384,14.8041423569866,24.1517273389946,6.25383008731518,0.934579439252336,36.0896372148244,31.169059603689,32.8888045392505
4009,SAUDI GERMAN H,Health Care,2.14411642411642,87.9,6.96968887259911,5.93939393939393,13.8020833333333,-21.4028776978417,-1.01925254610729,5.11685522066709,0.0,44.1987832691928,26.4841425046143,31.8195015292071
2230,SAUDI CHEMICAL,Health Care,2.47669491977184,11.22,20.382019080664,0.0,25.3697383390216,67.4772036474163,157.812129827023,4.91191130284661,,38.3851753805427,NaN,NaN
2070,PHARMACEUTICAL,Health Care,0.921157844234767,29.0,14.13282896397,0.348432055749126,-15.7894736842106,-26.1538461538462,-23.8095238107788,2.22942901522904,0.0,,28.7125957395651,36.1475899282472
AKT,AKDITAL,Health Care,0.870517648837116,682.5,0.492577382867562,-0.872093023255816,1.79104477611938,1.03703703703697,37.499999999385,6.05981035454981,0.476539589442815,49.4523980787526,NaN,NaN
4014,EQUIPMENT HOUS,Health Care,0.389413081720774,49.1,1.4615482547721699,0.619834710743805,-3.3e-14,-15.3043478260869,1.98952879272993,2.81213857595266,,34.8138140070199,22.1310530333321,24.3441583366653
MCGS,MEDICARE GROUP,Health Care,0.33128876114693395,4.298,2.37803689239951,0.893697083725331,0.917431192660567,4.82659153225737,-17.5939620214082,1.17385703775966,5.12820512820513,18.1134943421719,17.1612610431275,17.8803951159281
